Date,VG09
2025-08-10 22:00:00,2.7e-07
2025-08-10 22:10:00,2.716666666666667e-07
2025-08-10 22:20:00,2.7333333333333335e-07
2025-08-10 22:30:00,2.75e-07
2025-08-10 22:40:00,2.766666666666667e-07
2025-08-10 22:50:00,2.7833333333333335e-07
2025-08-10 23:00:00,2.8e-07
2025-08-10 23:10:00,2.816666666666667e-07
2025-08-10 23:20:00,2.8333333333333336e-07
2025-08-10 23:30:00,2.85e-07
2025-08-10 23:40:00,2.866666666666667e-07
2025-08-10 23:50:00,2.8833333333333336e-07
2025-08-11 00:00:00,2.9e-07
2025-08-11 00:10:00,2.9166666666666664e-07
2025-08-11 00:20:00,2.933333333333333e-07
2025-08-11 00:30:00,2.95e-07
2025-08-11 00:40:00,2.9666666666666665e-07
2025-08-11 00:50:00,2.983333333333333e-07
2025-08-11 01:00:00,3e-07
2025-08-11 01:10:00,3.0166666666666665e-07
2025-08-11 01:20:00,3.033333333333333e-07
2025-08-11 01:30:00,3.05e-07
2025-08-11 01:40:00,3.0666666666666666e-07
2025-08-11 01:50:00,3.0833333333333333e-07
2025-08-11 02:00:00,3.1e-07
